file_path,entropy,file_size,num_sections,suspicious_imports,packer_type
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\chkdsk.exe,5.83,16384,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\chkntfs.exe,5.81,16896,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\choice.exe,6.17,29696,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\CIDAEMON.EXE,5.64,14848,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\cleanupintlcache.exe,4.74,13312,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\cli-32.exe,6.38,65536,3,4,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Clockres.exe,6.43,139944,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\cmd.exe,4.59,302592,4,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\cml-explorer.exe,6.04,76024,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\color-cube-analyze.exe,5.88,37296,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\color-enhance.exe,5.86,31152,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\color-exchange.exe,5.84,48112,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\color-rotate.exe,5.6,77632,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\color-to-alpha.exe,5.83,36760,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\colorify.exe,5.92,34888,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\colormap-remap.exe,5.86,43264,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ComIntRep.exe,6.85,2116096,5,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\compose.exe,6.07,55944,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ConfigProfile.exe,6.51,57840,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Contig.exe,6.34,253600,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\contrast-normalize.exe,5.92,30432,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\contrast-retinex.exe,6.04,44096,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\contrast-stretch-hsv.exe,5.83,31104,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\contrast-stretch.exe,5.92,30464,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\control.exe,6.8,113152,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\convolution-matrix.exe,5.85,46160,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Coreinfo.exe,3.38,892088,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\cpuz_x32.exe,6.83,3196936,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\crop-auto.exe,5.97,32512,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\crop-zealous.exe,5.9,32088,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\csc.exe,6.05,77112,3,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\csrstub.exe,6.18,47616,4,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ctrl2cap.exe,5.9,150328,3,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\cubism.exe,5.91,43648,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\curve-bend.exe,6.05,70568,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\cvtres.exe,6.49,32072,3,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DarkNamer.exe,5.35,81920,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\dat2file.exe,5.96,33280,8,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DatabaseEditor.exe,6.27,34304,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DataSvcUtil.exe,4.94,71512,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Dbgview.exe,6.5,468056,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\decompose.exe,6.1,51744,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Defrag.exe,7.28,176128,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\deinterlace.exe,5.9,35400,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\depth-merge.exe,5.97,46176,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Desktops.exe,6.51,116824,5,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\despeckle.exe,6.02,43536,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\destripe.exe,5.87,37416,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\dfrgui.exe,6.52,586752,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\diagtrackrunner.exe,5.68,79040,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\diff.exe,6.49,68096,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\diffraction.exe,5.91,41984,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\disk2vhd.exe,2.18,7134400,5,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DiskCleaner.exe,6.28,43512,5,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\diskext.exe,6.42,143008,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Diskmon.exe,6.35,224056,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DiskView.exe,6.58,580984,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\displace.exe,5.9,45024,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ditrace.exe,6.67,256000,4,4,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\djvmcvt.exe,6.07,44032,7,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\djvuextract.exe,6.09,51200,7,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\doc2x.exe,6.17,36352,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DocFetcher-1024.exe,5.59,39424,6,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DocFetcher-2048_64-bit-Java.exe,5.6,39424,6,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DocFetcher-256.exe,5.59,39424,6,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DocFetcher-4096_64-bit-Java.exe,5.6,39424,6,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DocFetcher-512.exe,5.59,39424,6,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DocFetcher-768.exe,5.59,39424,6,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DocFetcher-8192_64-bit-Java.exe,5.6,39424,6,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DpiScaling.exe,7.15,76800,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DriveCleanup.exe,5.32,49592,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\DriverView.exe,6.28,68192,4,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\du.exe,6.44,169072,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\dvd+rw-format.exe,5.93,74119,6,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\dvd+rw-mediainfo.exe,5.92,49333,5,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\dw20.exe,6.43,33096,3,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\edge-dog.exe,5.91,46848,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\edge-laplace.exe,5.94,32144,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\edge-neon.exe,5.91,43992,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\edge-sobel.exe,5.82,38696,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\edge.exe,5.88,44304,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\efsdump.exe,5.94,146232,3,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\emboss.exe,5.88,39240,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\engrave.exe,5.85,36744,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ESEDatabaseView.exe,6.41,111824,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\eventcreate.exe,6.16,35328,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\EventLogChannelsView.exe,6.35,112848,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Everything.exe,6.67,1668200,4,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\expand.exe,5.89,53248,4,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ExtExport.exe,5.58,25600,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\FastHash_kr.exe,6.42,476672,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\fc.exe,6.05,19968,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-bmp.exe,6.05,57096,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-cel.exe,5.95,38976,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-compressor.exe,5.96,28640,8,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-csource.exe,5.95,44480,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-desktop-link.exe,5.86,28960,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-dicom.exe,5.89,43920,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-faxg3.exe,5.67,37104,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-fits.exe,6.15,61744,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-fli.exe,6.0,52232,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-gbr.exe,5.84,41744,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-gif-load.exe,6.05,39768,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-gif-save.exe,6.04,49424,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-gih.exe,5.91,51024,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-glob.exe,5.91,30112,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-header.exe,5.91,32000,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-html-table.exe,5.78,43336,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-ico.exe,6.0,59664,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-jp2-load.exe,5.87,34768,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-mng.exe,5.93,54552,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-pat.exe,5.88,38048,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-pcx.exe,5.91,37064,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-pdf-load.exe,5.84,54824,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-pdf-save.exe,5.87,59704,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-pix.exe,5.89,34184,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-png.exe,5.95,61512,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-pnm.exe,6.03,43272,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-ps.exe,6.05,76288,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-psd-load.exe,6.0,70608,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-psd-save.exe,6.0,45432,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-psp.exe,5.91,46888,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-raw.exe,5.88,47440,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-sgi.exe,6.0,42544,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-sunras.exe,6.06,44320,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-svg.exe,5.82,49728,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-tga.exe,5.99,43880,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-tiff-load.exe,6.0,55552,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-tiff-save.exe,5.94,47160,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-uri.exe,5.89,35400,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-wmf.exe,5.87,48976,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-xbm.exe,5.92,47192,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-xpm.exe,5.88,40584,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\file-xwd.exe,6.09,47984,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\FileAssociation.exe,6.0,63488,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\FileTypesMan.exe,6.15,121552,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\film.exe,5.82,56024,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\filter-pack.exe,5.25,74904,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\find.exe,5.63,13824,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\FindLinks.exe,6.36,147112,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\FolderTimeUpdate.exe,6.36,101072,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\fractal-explorer.exe,6.06,80144,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\fractal-trace.exe,5.98,42368,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\fsquirt.exe,6.68,219648,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ftp.exe,6.34,42496,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\FullEventLogView.exe,6.36,124112,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\geek.exe,6.49,6250064,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\gimptool-2.0.exe,6.13,31472,8,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\gpgme-w32spawn.exe,6.41,24224,7,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\gradient-map.exe,5.85,32208,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\grepWin-1.9.0_portable.exe,6.39,1145592,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\grid.exe,5.96,49648,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\gsd.exe,5.63,70648,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\gspawn-win32-helper-console.exe,5.64,20494,8,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\gspawn-win32-helper.exe,5.61,21006,8,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\gui-32.exe,6.39,65536,3,4,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\guillotine.exe,5.91,31664,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\gzip.exe,6.26,68096,6,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\handle.exe,6.28,425608,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Hash.exe,6.46,29184,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\HashCalc.exe,6.58,516096,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\HashCalculator.exe,5.93,29696,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Hasher.exe,6.61,655872,8,5,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\HDDScan.exe,6.78,7124992,11,6,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\help-browser.exe,5.92,77072,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\help.exe,5.95,41600,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\hex2dec.exe,6.45,150176,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\hot.exe,6.04,40960,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\httrack.exe,5.88,18432,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\HWMonitorPro_x32.exe,6.46,2067936,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\i7TurboGT.exe,5.61,56320,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ictranslate.exe,6.29,71912,5,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\iecleanup.exe,5.61,80384,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\IEExec.exe,5.11,9728,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\illusion.exe,5.88,39184,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\InstalledPackagesView.exe,6.4,100048,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\InstallUtil.exe,3.26,28672,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\iwarp.exe,6.08,60952,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\jigsaw.exe,6.13,65248,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\joinExe.exe,6.12,71152,5,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\jsc.exe,4.21,40960,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\junction.exe,6.47,216736,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\KillPot.exe,6.38,78776,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\LastActivityView.exe,6.43,134864,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\lcms.exe,5.87,55552,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ldmdump.exe,5.96,154424,3,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\lens-apply.exe,5.92,39784,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\lens-distortion.exe,6.04,41576,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\lens-flare.exe,5.99,46016,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ListaryHookHelper32.exe,6.56,29496,6,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Listdlls.exe,6.42,424096,5,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\livekd.exe,6.44,641184,5,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\LoadOrd.exe,6.41,141472,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\LoadOrdC.exe,6.45,173216,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\LoadTester.exe,4.45,31744,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\logonsessions.exe,6.46,224952,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\lpaq8.exe,6.34,29184,5,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\m2cdm.exe,6.11,46080,8,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\MacMakeup.exe,5.48,34816,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ManicTimeProcessInfo.exe,6.55,28344,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\max-rgb.exe,5.88,33424,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\maze.exe,5.97,52672,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\md5summer.exe,6.82,907264,8,5,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\mdbx_dump.exe,5.84,16384,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\mdbx_load.exe,5.94,18944,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\MediaCenterWebLauncher.exe,5.07,57344,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\memtest.exe,4.08,40960,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Miranda32.exe,4.54,31232,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\mmc.exe,6.58,1401344,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Mode2CDMaker.exe,6.04,46080,8,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\mosaic.exe,6.08,65360,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\movefile.exe,6.43,139936,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\MSBuild.exe,5.21,69632,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\mtinst.exe,6.26,654920,3,1,0
