file_path,entropy,file_size,num_sections,suspicious_imports,VirtualSize,SizeOfImage,SizeOfHeaders,Relocations,Imports,BaseOfCode,DllCharacteristics,AddressOfEntryPoint,SizeOfInitializedData,SizeOfUninitializedData,packer_type
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_HWMonitorPro_x32.exe,6.69,2054401,5,0,5410985,5420801,1024,0,0,4096,32768,3750368,832512,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_IEExec.exe,6.08,14073,3,0,27865,43769,512,0,0,8192,1280,33752,2048,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_InstalledPackagesView.exe,6.5,92929,5,0,227681,238337,1024,0,0,4096,0,169952,35840,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_InstallUtil.exe,4.93,29433,3,0,55553,70393,4096,0,0,8192,1280,51160,8192,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_joinExe.exe,5.88,58625,5,0,121789,133889,1024,0,0,4096,33088,99296,36864,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_junction.exe,6.41,205569,5,0,608401,622337,1024,0,0,4096,33024,421344,69632,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_KillPot.exe,6.39,77573,6,0,218489,234245,1024,0,0,4096,33024,161764,31232,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_LastActivityView.exe,6.54,127745,5,0,387257,397057,1024,0,0,4096,0,294368,48640,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Listdlls.exe,6.69,406273,5,0,770185,783105,1024,0,0,4096,33088,602080,302592,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_livekd.exe,6.71,624385,5,0,942793,951041,1024,0,0,4096,33088,792544,542720,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_LoadOrd.exe,6.23,125697,5,0,393169,402177,1024,0,0,4096,33088,282592,95744,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_LoadOrdC.exe,6.28,156929,5,0,486865,497409,1024,0,0,4096,33088,346592,99840,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_logonsessions.exe,6.71,208641,5,0,492737,503553,1024,0,0,4096,33088,361952,135680,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_md5summer.exe,6.9,869133,8,0,2245162,2263821,1024,0,0,4096,0,1596396,259584,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_MediaCenterWebLauncher.exe,5.9,58105,3,0,126601,144121,4096,0,0,8192,34112,104408,16384,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_memtest.exe,4.97,45825,5,0,89789,99073,4096,0,0,4096,0,71648,28672,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Miranda32.exe,5.17,35073,5,0,55809,71425,1024,0,0,4096,33024,57824,25600,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_mmc.exe,6.67,1319165,4,0,3385381,3394301,1024,0,0,4096,32832,2358236,402432,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_movefile.exe,6.28,124673,5,0,365401,378625,1024,0,0,4096,33088,258528,65024,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_mtinst.exe,6.3,653053,4,0,681493,694013,1024,0,0,4096,32768,676316,633344,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_MyTimeSync.exe,4.89,37633,5,0,71105,78593,4096,0,0,4096,0,55264,20480,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_nbtstat.exe,6.42,19197,4,0,83317,91901,1024,0,0,4096,33088,78300,48640,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_notepad.exe,7.28,180477,4,0,277953,291581,1024,0,0,4096,33088,241628,140288,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_notmyfault.exe,6.92,226561,5,0,484929,498433,1024,0,0,4096,33088,369632,161792,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_notmyfaultc.exe,6.95,233729,5,0,506265,520961,1024,0,0,4096,33088,384992,161280,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_nslookup.exe,5.93,96509,4,0,287085,293629,1024,0,0,4096,33088,203740,54784,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ntfsinfo.exe,6.27,128257,5,0,376017,389889,1024,0,0,4096,33024,266208,62464,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_OpenedFilesView.exe,6.51,117505,5,0,270125,277249,4096,0,0,4096,0,199648,50176,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_pagedfrg.exe,6.2,213761,5,0,670513,680705,4096,0,0,4096,0,518112,315392,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_pendmoves.exe,6.25,126209,5,0,370049,385793,1024,0,0,4096,33088,264160,65536,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_PEViewer.exe,6.66,1460493,8,0,4112141,4116237,1536,0,0,4096,0,2805228,90112,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_pipelist.exe,6.42,201985,5,0,597345,611073,1024,0,0,4096,33024,413664,66560,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_PortableWinCDEmu-4.0.exe,6.71,668929,5,0,968445,980737,1024,0,0,4096,33088,831968,558592,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_portmon.exe,6.8,449281,5,0,1371501,1382145,1024,0,0,4096,32768,1139168,244224,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_procdump.exe,6.6,629505,5,0,1202493,1212161,1024,0,0,4096,33088,929248,481280,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_procexp.exe,6.58,2662657,5,0,4785065,4797185,1024,0,0,4096,33088,3807200,1943552,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Procmon.exe,6.57,2115841,5,0,3688581,3697409,1024,0,0,4096,33088,2923488,1594368,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ProduKey.exe,6.55,83713,5,0,210669,219905,1024,0,0,4096,0,154592,27136,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_PsExec.exe,6.75,321793,5,0,836021,845569,1024,0,0,4096,33088,674272,400896,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_psfile.exe,6.27,138497,5,0,409413,418561,1024,0,0,4096,33024,284640,66048,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_PsGetsid.exe,6.82,280321,5,0,587125,598785,1024,0,0,4096,33088,446432,195584,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_PsInfo.exe,6.73,302337,5,0,685181,699137,1024,0,0,4096,33024,523232,231936,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_pskill.exe,6.79,273153,5,0,564333,579329,1024,0,0,4096,33024,434656,189952,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_pslist.exe,6.33,167681,5,0,495845,509697,1024,0,0,4096,33024,346592,73728,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_PsLoggedon.exe,6.28,140545,5,0,413397,430849,1024,0,0,4096,33024,294880,64512,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_psloglist.exe,6.67,176897,5,0,525521,536321,1024,0,0,4096,32768,364000,36352,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_pspasswd.exe,6.27,138497,5,0,413541,426753,1024,0,0,4096,33024,292832,71168,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_psping.exe,6.22,235777,5,0,701029,715521,1024,0,0,4096,33088,484320,106496,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_PsService.exe,6.15,177409,5,0,526245,541441,1024,0,0,4096,33024,368608,81920,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_psshutdown.exe,6.53,205569,5,0,419609,426753,4096,0,0,4096,0,317408,126976,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_pssuspend.exe,6.79,272641,5,0,562901,574209,1024,0,0,4096,33088,430048,195584,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_pythonw.exe,5.39,32001,5,0,41517,56065,1024,0,0,4096,32768,48096,23552,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_RAMMap.exe,6.69,621825,5,0,1134937,1144577,1024,0,0,4096,33088,889312,462336,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_RegDelNull.exe,6.24,133377,5,0,390481,403201,1024,0,0,4096,33088,274912,69120,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_RegDllView.exe,6.43,80129,5,0,201761,214785,4096,0,0,4096,0,152032,26112,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_regjump.exe,6.52,106753,5,0,311873,326401,1024,0,0,4096,33024,224224,53760,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ru.exe,6.22,131329,5,0,386241,400129,1024,0,0,4096,33024,273376,65024,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_sdelete.exe,6.25,140033,5,0,412113,425729,1024,0,0,4096,33088,290272,72192,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ShareEnum.exe,6.51,258817,5,0,718545,725761,4096,0,0,4096,0,493536,163840,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ShellRunas.exe,6.27,99073,5,0,260381,267009,4096,0,0,4096,0,182240,45056,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_shexview.exe,6.41,100097,5,0,251377,264961,4096,0,0,4096,0,187360,35328,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_shmnview.exe,5.7,86785,5,0,201969,209665,4096,0,0,4096,0,145376,32768,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_sigcheck.exe,6.21,352001,5,0,1049617,1059585,1024,0,0,4096,33088,713696,158720,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Snap2HTML.exe,7.37,164601,3,0,408713,421625,512,0,0,8192,34112,296408,37376,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_SpyRemover.exe,4.91,33537,5,0,47353,56065,1024,0,0,4096,33088,46048,26112,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_streams.exe,6.2,124673,5,0,365705,378625,1024,0,0,4096,33024,258528,62464,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_strings.exe,6.27,133377,5,0,391601,404225,1024,0,0,4096,33088,275424,66560,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_sync.exe,6.25,127745,5,0,374617,388865,1024,0,0,4096,33088,265696,66048,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_sysexp.exe,6.35,70401,5,0,174397,188161,4096,0,0,4096,0,134624,23552,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Sysmon.exe,6.34,2813697,5,0,4460697,4472577,1024,0,0,4096,33088,3651040,2263040,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Tcpview.exe,6.71,298753,5,0,874645,886529,1024,0,0,4096,32768,600544,55296,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_tinytask.exe,6.81,41217,5,0,82013,89857,512,0,0,4096,0,67040,23040,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Updater.exe,6.44,58625,5,0,154917,167681,1024,0,0,4096,33088,118240,28160,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_upgrade.exe,6.21,59137,5,0,98781,110337,1024,0,0,4096,33088,87520,45056,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_webhttrack.exe,6.66,76545,5,0,215081,230145,1024,0,0,4096,32768,157664,15360,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_WinList.exe,5.92,20233,7,0,46569,68361,1024,0,0,4096,0,52200,14336,1024,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_accesschk.exe,7.69,965632,9,3,963278,995328,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_AddInProcess.exe,5.5,220160,9,3,217777,249856,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_AddInProcess32.exe,5.5,220160,9,3,217778,249856,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_AddInUtil.exe,5.5,220160,9,3,217780,249856,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_ADInsight.exe,5.53,4520960,9,3,4518595,4550656,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_aspnet_compiler.exe,5.54,220160,9,3,217787,249856,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_aspnet_regbrowsers.exe,5.37,211968,9,3,209600,241664,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_Autologon.exe,6.57,314368,9,3,311997,344064,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_Autoruns.exe,7.67,912384,9,3,910014,942080,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_autorunsc.exe,7.62,830464,9,3,828095,860160,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_Bginfo.exe,7.93,3234816,9,3,3232449,3264512,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_calc.exe,7.73,957440,9,3,955081,987136,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_CheckDisk.exe,5.65,211968,9,3,209597,241664,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_CheckUpdate.exe,5.65,211968,9,3,209610,241664,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_checkver.exe,6.24,277504,9,3,275138,307200,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_chglogon.exe,5.51,207872,9,3,205518,237568,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_chgport.exe,5.53,211968,9,3,209608,241664,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_chgusr.exe,5.49,207872,9,3,205503,237568,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_chkdsk.exe,5.36,199680,9,3,197305,229376,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_chkntfs.exe,5.43,199680,9,3,197317,229376,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_choice.exe,5.65,211968,9,3,209592,241664,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_cleanupintlcache.exe,5.38,199680,9,3,197316,229376,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_Clockres.exe,6.58,314368,9,3,312005,344064,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_cmd.exe,6.11,482304,9,3,479937,512000,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_ComIntRep.exe,7.91,2313216,9,3,2310852,2342912,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_ConfigProfile.exe,5.89,232448,9,3,230103,262144,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_control.exe,6.52,297984,9,3,295602,327680,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_Coreinfo.exe,7.61,1072128,9,3,1069767,1101824,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_csrstub.exe,5.87,228352,9,3,225967,258048,1024,0,47,4096,0,5280,168960,1024,2
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Amber\amber_DarkNamer.exe,6.21,252416,9,3,250453,282624,1024,0,47,4096,0,5280,168960,1024,2
